공분산,삼성전자,SK하이닉스,셀트리온,현대차,POSCO,LG화학,NAVER,KB금융,삼성생명,현대모비스,신한지주,SK,한국전력,SK이노베이션,SK텔레콤,LG생활건강,LG전자,아모레퍼시픽,LG,롯데케미칼,하나금융지주,S-Oil,KT&G,삼성SDI,기아차,삼성화재,아모레G,우리은행,카카오,LG디스플레이,현대중공업,고려아연,기업은행,엔씨소프트,이마트,KT,한국타이어,현대제철,코웨이,롯데쇼핑,강원랜드,한화생명,한미사이언스,현대글로비스,CJ,한국항공우주
하나금융지주,0.001723434,0.000266493,0.000365809,0.000768068,0.002405449,0.001672753,0.001018169,0.003602357,0.000803579,0.000898843,0.002828385,0.001121477,-3.69081E-05,0.00220343,0.000871834,0.000117027,-0.000208929,0.000750269,0.000490908,0.001403551,0.005906449,0.001702897,1.02444E-05,0.001049386,0.000595865,0.000775831,0.001009601,-0.016576075,0.001294641,0.000881219,0.001530786,0.001275802,0.002989584,0.000159592,0.000836451,0.001563972,0.000631585,0.002024937,-0.001368271,0.00097874,0.000396777,0.001935574,-0.003546284,0.000172467,-0.000293343,-0.000118316
S-Oil,0.001584484,-0.001107352,0.000211219,0.000521479,0.001359731,0.003848434,0.000884113,0.000228355,0.000479254,0.000951332,0.000896404,-0.000636278,0.000266733,0.005532479,0.000392015,0.000304764,0.000779099,0.00155979,0.001164886,0.004444183,0.001702897,0.007987476,-0.000779938,0.001031955,5.01903E-05,0.00038492,0.001398921,0.005439605,0.0008508,0.000710692,0.001970433,0.001429577,-1.50455E-06,0.002042403,-0.000293437,0.000744163,0.000498356,0.00122796,-5.79787E-05,-0.001147155,8.17156E-05,0.000822461,-0.001476852,-0.001188623,-0.001215565,-0.000665457
KT&G,-0.000455597,-0.000595928,-0.000424087,0.000876279,0.000162812,0.000454653,-0.000642314,0.000454937,5.14619E-05,0.000923338,0.000471153,0.000266945,0.000893593,-0.000391896,0.000402386,0.001970448,-0.000136926,0.002106259,0.000615492,0.000247711,1.02444E-05,-0.000779938,0.004076747,0.000531421,0.000735625,0.000448246,0.003152783,0.00272579,0.000591085,-0.000418037,0.000210713,0.000503202,0.000459317,-0.000444902,0.001402538,0.000823028,0.000258006,0.000623103,0.001483219,0.000866247,0.001703069,0.000425308,0.003753108,-5.95508E-05,0.000626559,0.001292612
삼성SDI,0.000888428,0.000557638,0.000584256,0.002876422,0.00130429,0.00484219,0.001975248,0.001702873,-0.000390431,0.002772286,0.001532289,-0.000372218,-0.001433775,0.001405086,0.000622123,0.001602886,0.003497367,0.000712307,0.002382311,0.002279012,0.001049386,0.001031955,0.000531421,0.010171654,0.002256807,0.000256949,0.000363236,0.010601971,0.001975705,0.002748526,0.00324565,0.000325985,0.000382151,-0.000631026,0.001621542,0.000236919,0.001589179,0.002603382,-0.000814079,0.000908895,-0.000914074,0.000291182,-0.002732496,0.001533281,-0.000944382,-0.003463465
기아차,0.000316172,-0.001054731,-0.000494325,0.002498653,0.000673099,0.001596346,0.001428344,0.000484291,0.001039303,0.001890106,0.000814414,-0.000131787,-0.000104957,0.00031409,0.000686664,0.000734769,0.00142303,0.001654511,0.001352835,0.000308256,0.000595865,5.01903E-05,0.000735625,0.002256807,0.003824677,0.000754109,0.000848402,0.01522734,-0.00013436,0.000702949,0.00178148,0.000344845,0.001176032,-0.001930706,-9.90162E-05,0.000854902,0.000442224,0.000926738,-0.000145464,0.00071248,0.000241119,0.001193173,-0.000620902,0.001113896,-0.000651625,0.000125204
삼성화재,0.000864269,0.000337985,-0.003402541,0.000375009,0.000659054,0.000279782,0.000985834,0.000489091,0.001433864,0.000368844,0.000792163,0.001118375,0.000691119,0.000371424,0.000517185,0.000405284,0.000334969,-0.00043017,0.000653802,0.000113583,0.000775831,0.00038492,0.000448246,0.000256949,0.000754109,0.002481092,-0.000203718,0.014662932,0.000844673,3.59384E-05,0.000407838,0.000725556,0.000488453,7.99909E-05,0.000303084,0.000113383,0.000557361,0.000580132,0.000477285,-0.00021693,0.000428132,0.000819359,-0.000364828,0.000345242,4.93223E-05,0.0005065
아모레G,0.000590124,-0.001932079,0.003847978,0.000573386,0.000434071,0.002668316,0.002172857,0.000849241,-0.000256496,0.001958678,0.001460894,0.003698296,0.002017014,0.000626764,0.002786108,0.003700497,0.002270247,0.020732285,0.003112621,0.002005143,0.001009601,0.001398921,0.003152783,0.000363236,0.000848402,-0.000203718,0.023888692,-0.005116902,0.002830485,-0.000599239,0.000664686,0.00083947,0.001559911,-0.000237502,-0.000539787,0.001412792,-5.48677E-05,0.002153869,0.002394981,0.00062855,5.54083E-05,0.000448888,-0.00228128,-0.000243168,0.000599421,0.003975924
우리은행,0.005103206,-0.001187708,-0.019299617,0.010757642,-0.00107615,0.005245512,-0.004994114,-0.015037509,0.008571818,-0.00270191,-0.002555002,-0.019842219,-0.002984056,-0.004757264,0.007973444,-0.003540255,-0.007269235,0.015980843,0.003100527,0.039648264,-0.016576075,0.005439605,0.00272579,0.010601971,0.01522734,0.014662932,-0.005116902,2.191199876,-0.001672888,0.015597088,0.051395584,0.011024252,-0.007273548,0.011434877,0.021114549,-0.000167832,-0.000891782,-0.009990133,0.00872351,0.006027394,-0.013657361,0.00583025,-0.00327027,0.010418492,-0.016489795,-0.009239573
카카오,-0.000994419,0.000156238,-0.002014902,-0.000342397,0.000334991,0.001311722,-0.000503703,0.000353328,0.000277949,8.22523E-05,0.001263455,0.00201023,-0.00050527,0.000117078,0.001057624,0.001133748,0.00074536,0.00071307,0.001212278,0.001026893,0.001294641,0.0008508,0.000591085,0.001975705,-0.00013436,0.000844673,0.002830485,-0.001672888,0.010273094,0.0013219,-0.000489661,0.001811433,0.001122339,2.58613E-05,0.001373666,-0.000152491,-0.000432037,0.000484388,-0.000157134,0.000365999,0.00060387,0.000709877,-4.44401E-05,0.000242828,0.003696129,-0.000887553
LG디스플레이,0.000639841,0.002135928,-0.000285646,0.001459081,0.000937351,0.000905452,0.000306876,0.000372026,-0.000471792,0.000605989,0.00029949,-6.13517E-05,-0.00080264,0.000420189,0.001361428,-0.001095132,0.002497103,0.000396058,0.001644682,0.000940876,0.000881219,0.000710692,-0.000418037,0.002748526,0.000702949,3.59384E-05,-0.000599239,0.015597088,0.0013219,0.006524108,0.000925302,0.001349687,0.00032076,0.000614141,-0.000218815,0.000586524,0.000639365,0.001214738,-0.000859799,1.91187E-05,-0.000754183,-0.000909637,-0.003575383,-0.000348907,-0.001080748,-0.001378931
현대중공업,0.000927217,-8.24707E-05,0.002650006,0.002496557,0.002502595,0.003368984,0.003021769,0.000540066,0.000459677,0.00168318,0.000974903,0.000513115,0.000441485,0.001491149,0.001413329,-0.001160024,-1.2453E-06,0.001295696,0.001702507,0.003131343,0.001530786,0.001970433,0.000210713,0.00324565,0.00178148,0.000407838,0.000664686,0.051395584,-0.000489661,0.000925302,0.010812798,-0.000480706,0.000710799,0.000139664,0.002161873,0.001307778,0.00132953,0.003767582,-0.000189382,0.002222439,0.000412794,0.000741543,-0.001779266,0.002608647,-0.000875724,-0.000825371
